protocol,message_count,repeat,handshake_latency_ms,encryption_latency_ms,memory_usage_mb,cpu_utilization_pct,throughput_mbps
baseline,100,1,9.419100,0.010235,0.031250,0.000000,8.882363
proposed,100,1,25.523500,1.549551,0.000000,93.139008,0.048510
baseline,100,2,1.561700,0.022968,0.003906,0.000000,4.503276
proposed,100,2,31.423800,2.004907,0.003906,96.402951,0.037657
baseline,100,3,2.078300,0.008172,0.000000,0.000000,10.018081
proposed,100,3,27.312100,1.904266,0.015625,96.605946,0.039723
baseline,500,1,1.357000,0.006738,0.000000,0.000000,12.010066
proposed,500,1,33.024500,1.864932,0.000000,97.182157,0.040385
baseline,500,2,1.492200,0.008360,0.011719,0.000000,9.557202
proposed,500,2,38.121200,1.957651,0.000000,98.232074,0.038372
baseline,500,3,1.211200,0.006861,0.000000,0.000000,11.632835
proposed,500,3,31.677400,1.914643,0.000000,96.676021,0.039338
baseline,1000,1,1.658600,0.010532,0.035156,104.772953,8.185387
proposed,1000,1,34.076400,1.929943,0.000000,96.736051,0.038956
baseline,1000,2,1.492500,0.008368,0.000000,121.062092,9.457976
proposed,1000,2,33.225200,1.897322,0.000000,98.046633,0.039689
baseline,1000,3,2.160500,0.009106,0.011719,118.088515,9.225665
proposed,1000,3,33.149200,1.972630,0.000000,97.369045,0.038419
